,path,corruption,img_id,filename,algo,clipping,timestamp,latent,epsilon,psnr_to_target,lpips_to_target
44,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/9074/reconstruction/clipped/reconstruction_ddim.png,voronoi_noise,9074,reconstruction_ddim.png,reconstruction,clipped,2024-05-22_19-58,none,,18.68092918395996,0.3856070935726166
45,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/9074/ode/non_clipped/200_0.000316228_0.png,voronoi_noise,9074,200_0.000316228_0.png,ode,clipped,2024-05-22_19-58,200,0.0001,18.698129653930664,0.28893595933914185
46,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/9074/ode/non_clipped/200_0.0001_0.png,voronoi_noise,9074,200_0.0001_0.png,ode,clipped,2024-05-22_19-58,200,0.0001,18.983150482177734,0.29839181900024414
47,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/9074/ode/non_clipped/200_0.001_0.png,voronoi_noise,9074,200_0.001_0.png,ode,clipped,2024-05-22_19-58,200,0.001,18.561899185180664,0.27840569615364075
48,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/19849/original.png,voronoi_noise,19849,original.png,none,none,2024-05-22_19-58,none,,inf,0.0
49,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/19849/corrupted.png,voronoi_noise,19849,corrupted.png,none,none,2024-05-22_19-58,none,,15.278804779052734,0.08241939544677734
50,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/19849/reconstruction/clipped/reconstruction_ddim.png,voronoi_noise,19849,reconstruction_ddim.png,reconstruction,clipped,2024-05-22_19-58,none,,14.601881980895996,0.198506698012352
51,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/19849/ode/non_clipped/200_0.000316228_0.png,voronoi_noise,19849,200_0.000316228_0.png,ode,clipped,2024-05-22_19-58,200,0.0001,14.266119956970215,0.23001216351985931
52,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/19849/ode/non_clipped/200_0.0001_0.png,voronoi_noise,19849,200_0.0001_0.png,ode,clipped,2024-05-22_19-58,200,0.0001,14.842178344726562,0.16759762167930603
53,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/19849/ode/non_clipped/200_0.001_0.png,voronoi_noise,19849,200_0.001_0.png,ode,clipped,2024-05-22_19-58,200,0.001,13.77380084991455,0.31434303522109985
